"","Kingdom","Phylum","Class","Order","Family","Genus"
"Abiotrophia","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Abiotrophia"
"Acetobacter","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Acetobacter"
"Acholeplasma","Bacteria","Tenericutes","Mollicutes","Acholeplasmatales","Acholeplasmataceae","Acholeplasma"
"Acidovorax","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Acidovorax"
"Acinetobacter","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"Actinobacillus","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus"
"Actinomyces","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces"
"Advenella","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Advenella"
"Aestuariimicrobium","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Aestuariimicrobium"
"Agathobacter","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Agathobacter"
"Aggregatibacter","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter"
"Alishewanella","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alishewanella"
"Alistipes","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Alkanindiges","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Alkanindiges"
"Allisonella","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Allisonella"
"Alloprevotella","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella"
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Alloscardovia","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Alloscardovia"
"Alysiella","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Neisseriaceae","Alysiella"
"Amaricoccus","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amaricoccus"
"Anaerococcus","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Anaerococcus"
"Anaeroglobus","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Anaeroglobus"
"Anaerovibrio","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Anaerovibrio"
"Anaerovorax","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII","Anaerovorax"
"Anthococcus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Anthococcus"
"Aquabacterium","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Aquabacterium"
"Arcanobacterium","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Arcanobacterium"
"Arcobacter","Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter"
"Arthrobacter","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter"
"Asinibacterium","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Asinibacterium"
"Atopobacter","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Atopobacter"
"Atopobium","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Atopobium"
"Aureimonas","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Aureimonas"
"Azomonas","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Azomonas"
"Azorhizophilus","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Azorhizophilus"
"Azospirillum","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Azospirillum"
"Bacillus","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"Bacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Bergeriella","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Neisseriaceae","Bergeriella"
"Bergeyella","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Bergeyella"
"Bifidobacterium","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"Bilophila","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bilophila"
"Blastococcus","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Geodermatophilaceae","Blastococcus"
"Blastomonas","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Blastomonas"
"Blvii28_wastewater-sludge_group","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Blvii28_wastewater-sludge_group"
"Brachymonas","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Brachymonas"
"Bradyrhizobium","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium"
"Brevibacterium","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium"
"Brevundimonas","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas"
"Brochothrix","Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Brochothrix"
"Bulleidia","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Bulleidia"
"Burkholderia-Caballeronia-Paraburkholderia","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia"
"Butyrivibrio","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio"
"Campylobacter","Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter"
"Candidatus_Saccharimonas","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","Candidatus_Saccharimonas"
"Candidatus_Soleaferrea","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Candidatus_Soleaferrea"
"Candidatus_Uzinura","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Blattabacteriaceae","Candidatus_Uzinura"
"Capnocytophaga","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga"
"Cardiobacterium","Bacteria","Proteobacteria","Gammaproteobacteria","Cardiobacteriales","Cardiobacteriaceae","Cardiobacterium"
"Catonella","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Catonella"
"Caulobacter","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"Centipeda","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Centipeda"
"Chelatococcus","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Chelatococcus"
"Chelonobacter","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Chelonobacter"
"Christensenellaceae_R-7_group","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenellaceae_R-7_group"
"Chryseobacterium","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium"
"Chthonobacter","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Pleomorphomonadaceae","Chthonobacter"
"Cloacibacterium","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Cloacibacterium"
"Clostridium","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium"
"Comamonas","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Comamonas"
"Conchiformibius","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Neisseriaceae","Conchiformibius"
"Coprococcus_2","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus_2"
"Corynebacterium","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium"
"Coxiella","Bacteria","Proteobacteria","Gammaproteobacteria","Coxiellales","Coxiellaceae","Coxiella"
"Cricetibacter","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Cricetibacter"
"Cryptobacterium","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Cryptobacterium"
"Cupriavidus","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Cupriavidus"
"Curvibacter","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Curvibacter"
"Cutibacterium","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium"
"Cytophaga","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cytophagaceae","Cytophaga"
"Defluviitaleaceae_UCG-011","Bacteria","Firmicutes","Clostridia","Clostridiales","Defluviitaleaceae","Defluviitaleaceae_UCG-011"
"Deinococcus","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus"
"Desulfobulbus","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","Desulfobulbus"
"Desulfomicrobium","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfomicrobiaceae","Desulfomicrobium"
"Desulfoplanes","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfomicrobiaceae","Desulfoplanes"
"Desulfovibrio","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"Devosia","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"Dialister","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Dialister"
"Diaphorobacter","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Diaphorobacter"
"Dietzia","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Dietziaceae","Dietzia"
"DNF00809","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Eggerthellaceae","DNF00809"
"Dolosigranulum","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Dolosigranulum"
"Eggerthia","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Eggerthia"
"Eikenella","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Neisseriaceae","Eikenella"
"Enhydrobacter","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Enhydrobacter"
"Enterococcus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus"
"Erysipelotrichaceae_UCG-004","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae_UCG-004"
"Erysipelotrichaceae_UCG-006","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae_UCG-006"
"Escherichia","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia"
"Ezakiella","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Ezakiella"
"F0058","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Paludibacteraceae","F0058"
"F0332","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","F0332"
"Faecalibacterium","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium"
"Family_XIII_UCG-001","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII","Family_XIII_UCG-001"
"Fastidiosipila","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Fastidiosipila"
"Filifactor","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Filifactor"
"Finegoldia","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Finegoldia"
"Flaviaesturariibacter","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flaviaesturariibacter"
"Flavisolibacter","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter"
"Flavobacterium","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Flexilinea","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Flexilinea"
"Fretibacterium","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Fretibacterium"
"Fusobacterium","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"Gardnerella","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Gardnerella"
"GCA-900066755","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","GCA-900066755"
"Gemella","Bacteria","Firmicutes","Bacilli","Bacillales","Family_XI","Gemella"
"Gemmobacter","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Gemmobacter"
"Granulicatella","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella"
"Haemophilus","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus"
"Helicobacter","Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Helicobacteraceae","Helicobacter"
"Howardella","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Howardella"
"Isobaculum","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Isobaculum"
"Jeotgalicoccus","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Jeotgalicoccus"
"Johnsonella","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Johnsonella"
"Kingella","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Neisseriaceae","Kingella"
"Kinneretia","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Kinneretia"
"Klebsiella","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Klebsiella"
"Lachnoanaerobaculum","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoanaerobaculum"
"Lachnospiraceae_AC2044_group","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_AC2044_group"
"Lachnospiraceae_NK3A20_group","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_NK3A20_group"
"Lactobacillus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"Lactococcus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus"
"Lactonifactor","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lactonifactor"
"Lautropia","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Lautropia"
"Lawsonella","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Lawsonella"
"Leptotrichia","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia"
"Leuconostoc","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc"
"Listeria","Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria"
"Lysobacter","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter"
"Mannheimia","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Mannheimia"
"Marinomonas","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Marinomonadaceae","Marinomonas"
"Massilia","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia"
"Megasphaera","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Megasphaera"
"Mesorhizobium","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mesorhizobium"
"Methylobacterium","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium"
"Microbacterium","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium"
"Microvirga","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga"
"Millisia","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Millisia"
"Mobiluncus","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Mobiluncus"
"Mogibacterium","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII","Mogibacterium"
"Moraxella","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella"
"Moryella","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Moryella"
"Mycoplasma","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma"
"Necropsobacter","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Necropsobacter"
"Negativicoccus","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Negativicoccus"
"Neisseria","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Neisseriaceae","Neisseria"
"Nevskia","Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Solimonadaceae","Nevskia"
"Nocardioides","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"Noviherbaspirillum","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Noviherbaspirillum"
"Novosphingobium","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"Oceanivirga","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Oceanivirga"
"Odoribacter","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae","Odoribacter"
"Olsenella","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella"
"Oribacterium","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Oribacterium"
"Pandoraea","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Pandoraea"
"Pannonibacter","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Stappiaceae","Pannonibacter"
"Paracoccus","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus"
"Paraherbaspirillum","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Paraherbaspirillum"
"Parascardovia","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Parascardovia"
"Parvimonas","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Parvimonas"
"Pedobacter","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Pelomonas","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Pelomonas"
"Pelospora","Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","Pelospora"
"Peptoanaerobacter","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptoanaerobacter"
"Peptococcus","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Peptococcus"
"Peptoniphilus","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Peptoniphilus"
"Peptostreptococcus","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptostreptococcus"
"Phenylobacterium","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium"
"Phocaeicola","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_Incertae_Sedis","Phocaeicola"
"Photobacterium","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Photobacterium"
"Phyllobacterium","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Phyllobacterium"
"PMMR1","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","PMMR1"
"Polymorphum","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Stappiaceae","Polymorphum"
"Porphyromonas","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
"Prevotella","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"Prevotellaceae_UCG-004","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-004"
"Prevotellaceae_YAB2003_group","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_YAB2003_group"
"Propionibacterium","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Propionibacterium"
"Propionivibrio","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Propionivibrio"
"Proteiniphilum","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Proteiniphilum"
"Pseudarthrobacter","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter"
"Pseudocitrobacter","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pseudocitrobacter"
"Pseudoclavibacter","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Pseudoclavibacter"
"Pseudomonas","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Pseudopropionibacterium","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Pseudopropionibacterium"
"Pseudoramibacter","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Pseudoramibacter"
"Psychrobacter","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter"
"Pyramidobacter","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Pyramidobacter"
"Rahnella","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Rahnella"
"Ralstonia","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Ralstonia"
"Ramlibacter","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Ramlibacter"
"Raoultella","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Raoultella"
"Reyranella","Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella"
"Rhodobacter","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter"
"Rhodocista","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Rhodocista"
"Rhodococcus","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
"Rikenellaceae_RC9_gut_group","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae_RC9_gut_group"
"Rodentibacter","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Rodentibacter"
"Roseburia","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia"
"Roseomonas","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas"
