"","Kingdom","Phylum","Class","Order","Family","Genus"
"Rothia","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia"
"Rubellimicrobium","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rubellimicrobium"
"Rubritepida","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Rubritepida"
"Rubrivivax","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Rubrivivax"
"Ruminococcaceae_NK4A214_group","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_NK4A214_group"
"Ruminococcaceae_UCG-002","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-002"
"Ruminococcaceae_UCG-014","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-014"
"Ruminococcus","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Salinarimonas","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Salinarimonas"
"Salmonella","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Salmonella"
"Scardovia","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Scardovia"
"Sebaldella","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Sebaldella"
"Sediminibacterium","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Sediminibacterium"
"Sediminispirochaeta","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Sediminispirochaeta"
"Selenomonas","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Selenomonas"
"Serratia","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia"
"Shuttleworthia","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Shuttleworthia"
"Simonsiella","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Neisseriaceae","Simonsiella"
"Slackia","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Slackia"
"Sneathia","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Sneathia"
"Solobacterium","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Solobacterium"
"Soonwooa","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Soonwooa"
"Sphingoaurantiacus","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingoaurantiacus"
"Sphingobacterium","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"Sphingomonas","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"Staphylococcus","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"Stenotrophomonas","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas"
"Stomatobaculum","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Stomatobaculum"
"Streptobacillus","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Streptobacillus"
"Streptococcus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"Succiniclasticum","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Succiniclasticum"
"Succinivibrio","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Succinivibrio"
"Suttonella","Bacteria","Proteobacteria","Gammaproteobacteria","Cardiobacteriales","Cardiobacteriaceae","Suttonella"
"Tannerella","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Tannerella"
"Thiobacter","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Hydrogenophilaceae","Thiobacter"
"Treponema","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema"
"unclassified.G10","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","unclassified.Bacteria.Bacteroidetes.Bacteroidia.Sphingobacteriales.Lentimicrobiaceae"
"unclassified.G100","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","unclassified.Bacteria.Actinobacteria.Actinobacteria.Micrococcales.Intrasporangiaceae"
"unclassified.G101","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","unclassified.Bacteria.Actinobacteria.Thermoleophilia.Solirubrobacterales.Solirubrobacteraceae"
"unclassified.G102","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","unclassified.Bacteria.Bacteroidetes.Bacteroidia.Flavobacteriales.Weeksellaceae"
"unclassified.G104","Bacteria","Bacteroidetes","Ignavibacteria","OPB56","unclassified.Bacteria.Bacteroidetes.Ignavibacteria.OPB56","unclassified.Bacteria.Bacteroidetes.Ignavibacteria.OPB56.unclassified"
"unclassified.G105","Bacteria","Bacteroidetes","Rhodothermia","Rhodothermales","Rhodothermaceae","unclassified.Bacteria.Bacteroidetes.Rhodothermia.Rhodothermales.Rhodothermaceae"
"unclassified.G106","Bacteria","Elusimicrobia","Elusimicrobia","Lineage_IV","unclassified.Bacteria.Elusimicrobia.Elusimicrobia.Lineage_IV","unclassified.Bacteria.Elusimicrobia.Elusimicrobia.Lineage_IV.unclassified"
"unclassified.G107","Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","P6-b51","unclassified.Bacteria.Epsilonbacteraeota.Campylobacteria.Campylobacterales.P6-b51"
"unclassified.G108","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","unclassified.Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae"
"unclassified.G109","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","unclassified.Bacteria.Firmicutes.Bacilli.Bacillales.Staphylococcaceae"
"unclassified.G11","Bacteria","Bacteroidetes","Bacteroidia","unclassified.Bacteria.Bacteroidetes.Bacteroidia","unclassified.Bacteria.Bacteroidetes.Bacteroidia.unclassified","unclassified.Bacteria.Bacteroidetes.Bacteroidia.unclassified.unclassified"
"unclassified.G110","Bacteria","Patescibacteria","Parcubacteria","Candidatus_Campbellbacteria","unclassified.Bacteria.Patescibacteria.Parcubacteria.Candidatus_Campbellbacteria","unclassified.Bacteria.Patescibacteria.Parcubacteria.Candidatus_Campbellbacteria.unclassified"
"unclassified.G111","Bacteria","Patescibacteria","WS6_(Dojkabacteria)","unclassified.Bacteria.Patescibacteria.WS6_(Dojkabacteria)","unclassified.Bacteria.Patescibacteria.WS6_(Dojkabacteria).unclassified","unclassified.Bacteria.Patescibacteria.WS6_(Dojkabacteria).unclassified.unclassified"
"unclassified.G112","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","unclassified.Bacteria.Proteobacteria.Alphaproteobacteria.Acetobacterales.Acetobacteraceae"
"unclassified.G113","Bacteria","Proteobacteria","Alphaproteobacteria","Micavibrionales","unclassified.Bacteria.Proteobacteria.Alphaproteobacteria.Micavibrionales","unclassified.Bacteria.Proteobacteria.Alphaproteobacteria.Micavibrionales.unclassified"
"unclassified.G114","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","unclassified.Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Beijerinckiaceae"
"unclassified.G115","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","unclassified.Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae"
"unclassified.G116","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","unclassified.Bacteria.Proteobacteria.Gammaproteobacteria.Steroidobacterales.Steroidobacteraceae"
"unclassified.G117","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","unclassified.Bacteria.Spirochaetes.Spirochaetia.Spirochaetales.Spirochaetaceae"
"unclassified.G118","Bacteria","Tenericutes","Mollicutes","EMP-G18","unclassified.Bacteria.Tenericutes.Mollicutes.EMP-G18","unclassified.Bacteria.Tenericutes.Mollicutes.EMP-G18.unclassified"
"unclassified.G13","Bacteria","Cyanobacteria","Melainabacteria","Obscuribacterales","unclassified.Bacteria.Cyanobacteria.Melainabacteria.Obscuribacterales","unclassified.Bacteria.Cyanobacteria.Melainabacteria.Obscuribacterales.unclassified"
"unclassified.G14","Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","unclassified.Bacteria.Cyanobacteria.Oxyphotobacteria.Chloroplast","unclassified.Bacteria.Cyanobacteria.Oxyphotobacteria.Chloroplast.unclassified"
"unclassified.G15","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","unclassified.Bacteria.Firmicutes.Bacilli.Lactobacillales.Carnobacteriaceae"
"unclassified.G16","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","unclassified.Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae"
"unclassified.G17","Bacteria","Firmicutes","Bacilli","Lactobacillales","unclassified.Bacteria.Firmicutes.Bacilli.Lactobacillales","unclassified.Bacteria.Firmicutes.Bacilli.Lactobacillales.unclassified"
"unclassified.G18","Bacteria","Firmicutes","Bacilli","unclassified.Bacteria.Firmicutes.Bacilli","unclassified.Bacteria.Firmicutes.Bacilli.unclassified","unclassified.Bacteria.Firmicutes.Bacilli.unclassified.unclassified"
"unclassified.G19","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_vadinBB60_group","unclassified.Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiales_vadinBB60_group"
"unclassified.G20","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII","unclassified.Bacteria.Firmicutes.Clostridia.Clostridiales.Family_XIII"
"unclassified.G21","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified.Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae"
"unclassified.G22","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","unclassified.Bacteria.Firmicutes.Clostridia.Clostridiales.Peptostreptococcaceae"
"unclassified.G23","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified.Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae"
"unclassified.G24","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","unclassified.Bacteria.Firmicutes.Negativicutes.Selenomonadales.Veillonellaceae"
"unclassified.G25","Bacteria","Firmicutes","unclassified.Bacteria.Firmicutes","unclassified.Bacteria.Firmicutes.unclassified","unclassified.Bacteria.Firmicutes.unclassified.unclassified","unclassified.Bacteria.Firmicutes.unclassified.unclassified.unclassified"
"unclassified.G26","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","unclassified.Bacteria.Fusobacteria.Fusobacteriia.Fusobacteriales.Fusobacteriaceae"
"unclassified.G27","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","unclassified.Bacteria.Fusobacteria.Fusobacteriia.Fusobacteriales.Leptotrichiaceae"
"unclassified.G28","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","unclassified.Bacteria.Fusobacteria.Fusobacteriia.Fusobacteriales","unclassified.Bacteria.Fusobacteria.Fusobacteriia.Fusobacteriales.unclassified"
"unclassified.G29","Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales_(SR1)","unclassified.Bacteria.Patescibacteria.Gracilibacteria.Absconditabacteriales_(SR1)","unclassified.Bacteria.Patescibacteria.Gracilibacteria.Absconditabacteriales_(SR1).unclassified"
"unclassified.G3","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","unclassified.Bacteria.Actinobacteria.Actinobacteria.Micrococcales","unclassified.Bacteria.Actinobacteria.Actinobacteria.Micrococcales.unclassified"
"unclassified.G30","Bacteria","Patescibacteria","Gracilibacteria","JGI_0000069-P22","unclassified.Bacteria.Patescibacteria.Gracilibacteria.JGI_0000069-P22","unclassified.Bacteria.Patescibacteria.Gracilibacteria.JGI_0000069-P22.unclassified"
"unclassified.G31","Bacteria","Patescibacteria","Gracilibacteria","unclassified.Bacteria.Patescibacteria.Gracilibacteria","unclassified.Bacteria.Patescibacteria.Gracilibacteria.unclassified","unclassified.Bacteria.Patescibacteria.Gracilibacteria.unclassified.unclassified"
"unclassified.G32","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","unclassified.Bacteria.Patescibacteria.Saccharimonadia.Saccharimonadales.Saccharimonadaceae"
"unclassified.G33","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","unclassified.Bacteria.Patescibacteria.Saccharimonadia.Saccharimonadales","unclassified.Bacteria.Patescibacteria.Saccharimonadia.Saccharimonadales.unclassified"
"unclassified.G35","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","unclassified.Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Rhizobiaceae"
"unclassified.G36","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","unclassified.Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales","unclassified.Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales.unclassified"
"unclassified.G37","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","unclassified.Bacteria.Proteobacteria.Alphaproteobacteria.Rickettsiales.Mitochondria"
"unclassified.G38","Bacteria","Proteobacteria","Alphaproteobacteria","unclassified.Bacteria.Proteobacteria.Alphaproteobacteria","unclassified.Bacteria.Proteobacteria.Alphaproteobacteria.unclassified","unclassified.Bacteria.Proteobacteria.Alphaproteobacteria.unclassified.unclassified"
"unclassified.G39","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Neisseriaceae","unclassified.Bacteria.Proteobacteria.Gammaproteobacteria.Betaproteobacteriales.Neisseriaceae"
"unclassified.G4","Bacteria","Actinobacteria","Actinobacteria","unclassified.Bacteria.Actinobacteria.Actinobacteria","unclassified.Bacteria.Actinobacteria.Actinobacteria.unclassified","unclassified.Bacteria.Actinobacteria.Actinobacteria.unclassified.unclassified"
"unclassified.G40","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","unclassified.Bacteria.Proteobacteria.Gammaproteobacteria.Pasteurellales.Pasteurellaceae"
"unclassified.G41","Bacteria","Proteobacteria","Gammaproteobacteria","unclassified.Bacteria.Proteobacteria.Gammaproteobacteria","unclassified.Bacteria.Proteobacteria.Gammaproteobacteria.unclassified","unclassified.Bacteria.Proteobacteria.Gammaproteobacteria.unclassified.unclassified"
"unclassified.G42","Bacteria","Tenericutes","Mollicutes","unclassified.Bacteria.Tenericutes.Mollicutes","unclassified.Bacteria.Tenericutes.Mollicutes.unclassified","unclassified.Bacteria.Tenericutes.Mollicutes.unclassified.unclassified"
"unclassified.G43","Bacteria","unclassified.Bacteria","unclassified.Bacteria.unclassified","unclassified.Bacteria.unclassified.unclassified","unclassified.Bacteria.unclassified.unclassified.unclassified","unclassified.Bacteria.unclassified.unclassified.unclassified.unclassified"
"unclassified.G45","unclassified","unclassified.unclassified","unclassified.unclassified.unclassified","unclassified.unclassified.unclassified.unclassified","unclassified.unclassified.unclassified.unclassified.unclassified","unclassified.unclassified.unclassified.unclassified.unclassified.unclassified"
"unclassified.G5","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","unclassified.Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Muribaculaceae"
"unclassified.G52","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","unclassified.Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae"
"unclassified.G53","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","unclassified.Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Tannerellaceae"
"unclassified.G54","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","unclassified.Bacteria.Bacteroidetes.Bacteroidia.Flavobacteriales","unclassified.Bacteria.Bacteroidetes.Bacteroidia.Flavobacteriales.unclassified"
"unclassified.G56","Bacteria","Cyanobacteria","Melainabacteria","Gastranaerophilales","unclassified.Bacteria.Cyanobacteria.Melainabacteria.Gastranaerophilales","unclassified.Bacteria.Cyanobacteria.Melainabacteria.Gastranaerophilales.unclassified"
"unclassified.G58","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","unclassified.Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae_1"
"unclassified.G6","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","unclassified.Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae"
"unclassified.G60","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified.Bacteria.Firmicutes.Clostridia.Clostridiales","unclassified.Bacteria.Firmicutes.Clostridia.Clostridiales.unclassified"
"unclassified.G7","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","unclassified.Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae"
"unclassified.G72","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","unclassified.Bacteria.Proteobacteria.Gammaproteobacteria.Betaproteobacteriales.Burkholderiaceae"
"unclassified.G73","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","unclassified.Bacteria.Proteobacteria.Gammaproteobacteria.Betaproteobacteriales","unclassified.Bacteria.Proteobacteria.Gammaproteobacteria.Betaproteobacteriales.unclassified"
"unclassified.G74","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","unclassified.Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacteriales.Enterobacteriaceae"
"unclassified.G75","Bacteria","Proteobacteria","unclassified.Bacteria.Proteobacteria","unclassified.Bacteria.Proteobacteria.unclassified","unclassified.Bacteria.Proteobacteria.unclassified.unclassified","unclassified.Bacteria.Proteobacteria.unclassified.unclassified.unclassified"
"unclassified.G76","Bacteria","Tenericutes","Mollicutes","Izimaplasmatales","unclassified.Bacteria.Tenericutes.Mollicutes.Izimaplasmatales","unclassified.Bacteria.Tenericutes.Mollicutes.Izimaplasmatales.unclassified"
"unclassified.G77","Bacteria","Tenericutes","Mollicutes","Mollicutes_RF39","unclassified.Bacteria.Tenericutes.Mollicutes.Mollicutes_RF39","unclassified.Bacteria.Tenericutes.Mollicutes.Mollicutes_RF39.unclassified"
"unclassified.G79","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","unclassified.Bacteria.Actinobacteria.Actinobacteria.Corynebacteriales.Corynebacteriaceae"
"unclassified.G8","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","unclassified.Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales","unclassified.Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.unclassified"
"unclassified.G80","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","unclassified.Bacteria.Actinobacteria.Actinobacteria.Corynebacteriales","unclassified.Bacteria.Actinobacteria.Actinobacteria.Corynebacteriales.unclassified"
"unclassified.G81","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","unclassified.Bacteria.Actinobacteria.Actinobacteria.Micrococcales.Micrococcaceae"
"unclassified.G82","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","unclassified.Bacteria.Actinobacteria.Coriobacteriia.Coriobacteriales.Atopobiaceae"
"unclassified.G83","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","F082","unclassified.Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.F082"
"unclassified.G84","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","p-2534-18B5_gut_group","unclassified.Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.p-2534-18B5_gut_group"
"unclassified.G85","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","env_OPS_17","unclassified.Bacteria.Bacteroidetes.Bacteroidia.Sphingobacteriales.env_OPS_17"
"unclassified.G86","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","unclassified.Bacteria.Bacteroidetes.Bacteroidia.Sphingobacteriales","unclassified.Bacteria.Bacteroidetes.Bacteroidia.Sphingobacteriales.unclassified"
"unclassified.G87","Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Rs-M59_termite_group","unclassified.Bacteria.Epsilonbacteraeota.Campylobacteria.Campylobacterales.Rs-M59_termite_group"
"unclassified.G88","Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","unclassified.Bacteria.Epsilonbacteraeota.Campylobacteria.Campylobacterales","unclassified.Bacteria.Epsilonbacteraeota.Campylobacteria.Campylobacterales.unclassified"
"unclassified.G89","Bacteria","Firmicutes","Bacilli","Bacillales","unclassified.Bacteria.Firmicutes.Bacilli.Bacillales","unclassified.Bacteria.Firmicutes.Bacilli.Bacillales.unclassified"
"unclassified.G9","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","unclassified.Bacteria.Bacteroidetes.Bacteroidia.Flavobacteriales.Flavobacteriaceae"
"unclassified.G91","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","unclassified.Bacteria.Proteobacteria.Alphaproteobacteria.Caulobacterales.Caulobacteraceae"
"unclassified.G92","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","unclassified.Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Xanthobacteraceae"
"unclassified.G93","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","unclassified.Bacteria.Proteobacteria.Alphaproteobacteria.Rickettsiales","unclassified.Bacteria.Proteobacteria.Alphaproteobacteria.Rickettsiales.unclassified"
"unclassified.G94","Bacteria","Proteobacteria","Deltaproteobacteria","Bradymonadales","unclassified.Bacteria.Proteobacteria.Deltaproteobacteria.Bradymonadales","unclassified.Bacteria.Proteobacteria.Deltaproteobacteria.Bradymonadales.unclassified"
"unclassified.G95","Bacteria","Proteobacteria","Gammaproteobacteria","Cardiobacteriales","Cardiobacteriaceae","unclassified.Bacteria.Proteobacteria.Gammaproteobacteria.Cardiobacteriales.Cardiobacteriaceae"
"unclassified.G96","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","unclassified.Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Pseudomonadaceae"
"unclassified.G98","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","unclassified.Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Actinomycetaceae"
"unclassified.G99","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Dermacoccaceae","unclassified.Bacteria.Actinobacteria.Actinobacteria.Micrococcales.Dermacoccaceae"
"Undibacterium","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Undibacterium"
"Ureaplasma","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Ureaplasma"
"Varibaculum","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Varibaculum"
"Variovorax","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Variovorax"
"Veillonella","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonella"
"Vibrio","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio"
"W5053","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","W5053"
"Weissella","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella"
"Wolinella","Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Helicobacteraceae","Wolinella"
"Zoogloea","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Zoogloea"
